2026-04-03 20:22:20,773 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0039 | Data: mom=-0.0039
2026-04-03 20:22:20,855 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0039 | Data: mom=-0.0039
2026-04-03 20:22:20,931 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=-0.0109
2026-04-03 20:22:21,038 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=-0.0109
2026-04-03 20:22:21,147 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:22:21,225 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:22:21,826 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:22:21,905 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0031 | Data: mom=0.0031
2026-04-03 20:22:21,989 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0031 | Data: mom=0.0031
2026-04-03 20:22:22,091 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:22:22,170 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:22:32,259 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0119 | Data: mom=0.0119
2026-04-03 20:22:32,337 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0119 | Data: mom=0.0119
2026-04-03 20:22:32,447 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=0.0109
2026-04-03 20:22:32,524 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=0.0109
2026-04-03 20:22:32,617 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0085 | Data: mom=0.0085
2026-04-03 20:22:32,711 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0085 | Data: mom=0.0085
2026-04-03 20:22:32,788 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:22:32,862 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:22:32,989 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0031 | Data: mom=0.0031
2026-04-03 20:22:33,116 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0031 | Data: mom=0.0031
2026-04-03 20:22:33,195 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:22:33,278 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:22:43,374 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0093 | Data: mom=0.0093
2026-04-03 20:22:43,449 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0093 | Data: mom=0.0093
2026-04-03 20:22:43,529 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=-0.0109
2026-04-03 20:22:43,603 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=-0.0109
2026-04-03 20:22:43,678 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0085 | Data: mom=0.0085
2026-04-03 20:22:43,753 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0085 | Data: mom=0.0085
2026-04-03 20:22:43,832 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:22:43,908 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:22:43,984 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0118 | Data: mom=-0.0118
2026-04-03 20:22:44,077 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0118 | Data: mom=-0.0118
2026-04-03 20:22:44,151 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:22:44,229 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:22:54,642 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.14 band=0.15-0.85
2026-04-03 20:22:54,723 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.88 band=0.15-0.85
2026-04-03 20:22:54,802 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.13 band=0.15-0.85
2026-04-03 20:22:54,899 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:22:54,976 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0255 | Data: mom=0.0255
2026-04-03 20:22:55,053 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0255 | Data: mom=0.0255
2026-04-03 20:22:55,129 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:22:55,210 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:22:55,286 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0117 | Data: mom=-0.0117
2026-04-03 20:22:55,362 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0117 | Data: mom=-0.0117
2026-04-03 20:22:55,446 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:22:55,529 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:06,158 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.1 band=0.15-0.85
2026-04-03 20:23:06,235 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.9 band=0.15-0.85
2026-04-03 20:23:06,311 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.13 band=0.15-0.85
2026-04-03 20:23:06,402 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:23:06,481 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0170 | Data: mom=0.017
2026-04-03 20:23:06,564 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0170 | Data: mom=0.017
2026-04-03 20:23:06,646 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:06,722 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:06,801 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0239 | Data: mom=0.0239
2026-04-03 20:23:06,877 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0269 | Data: mom=0.0269
2026-04-03 20:23:06,955 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:07,032 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x7385b7e6660de7c215957b9e72ba6c99342aef6a525bd302a8163e8a6b125cf1
2026-04-03 20:23:17,637 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.11 band=0.15-0.85
2026-04-03 20:23:17,715 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.9 band=0.15-0.85
2026-04-03 20:23:17,803 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.13 band=0.15-0.85
2026-04-03 20:23:17,909 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=0.0109
2026-04-03 20:23:18,004 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0170 | Data: mom=0.017
2026-04-03 20:23:18,080 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: below_floor:0.0170 | Data: mom=0.017
2026-04-03 20:23:18,155 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:18,270 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: strict_market_lockout | Data: market_id=0x554e457c3c7f507367d69e123331d0e6c589da03e0a16d5dbd30626809ea26bd
2026-04-03 20:23:18,371 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0060 | Data: mom=0.006
