price_band,0-5s,5-10s,10-15s,15-20s,20-25s,25-30s,30-35s,35-40s,40-45s,45-50s,50-55s,55-60s,60-65s,65-70s,70-75s,75-80s,80-85s,85-90s,90-95s,95-100s,100-105s,105-110s,110-115s,115-120s,120-125s,125-130s,130-135s,135-140s,140-145s,145-150s,150-155s,155-160s,160-165s,165-170s,170-175s,175-180s,180-185s,185-190s,190-195s,195-200s,200-205s,205-210s,210-215s,215-220s,220-225s,225-230s,230-235s,235-240s,240-245s,245-250s,250-255s,255-260s,260-265s,265-270s,270-275s,275-280s,280-285s,285-290s,290-295s,295-300s
0.48-0.51,-32.173502687003804,-10.020405256843427,-4.591434068129149,-13.88353137824183,25.527865066057597,-26.16330278667941,-33.32888844439999,-39.57157995969397,37.8954408564742,-33.9847056601085,9.27820054732746,14.291429142914291,7.393816304707393,20.145429508937283,-19.44761486457924,-32.648934996592445,-40.45610746641674,-47.02470695299023,-10.190378506724132,-3.3515333304972397,-8.690301192862547,-23.699753382309268,0.7570005130880505,13.781593002745494,4.2633791380029065,-6.613072292241787,3.958265916208223,4.374135000109731,7.391229012524258,1.0355025442971653,4.588384418912259,22.465198828315696,18.913024209191875,8.484746060739198,0.5254659181259929,9.989358002895896,-6.2920498749737055,4.466517967745834,-4.15962293092872,4.858364909231628,-1.643919192387712,17.035557406559334,11.239758667567825,9.362477877894314,13.455614347487124,13.125627505571996,-0.8693170375294484,24.687868118607888,1.4651176386369447,2.834396027559738,-14.818709240063574,-22.03475711776674,-12.695711624383838,5.2513181227596455,-4.433242502028157,-3.434066546894854,0.048880949225162576,-0.07954856054595322,-2.301883914097319,2.2627202142732354
0.51-0.54,38.648922416361245,15.935394272001622,-3.9899720885249375,-5.496475545849558,-42.11742949607027,-36.08162195404732,34.81436620159044,-18.987238874401122,-52.22248391326977,-24.496555957705883,-47.08226574663377,-40.79823679565082,-13.167730302428557,-40.45890745373551,-36.92119779835358,-15.83165346974747,-10.704080771750629,-33.85542555989884,-23.675770607443074,-11.605415865721664,-24.27168434188195,-8.861768412726684,22.218659971389325,-4.732859410320152,2.6660934626801946,8.23211553201176,10.753868999455324,-4.536216178826429,18.13462224746012,1.4929132098348499,-14.128499262197709,-10.48129240915188,-13.258225939211593,-35.06837475737757,-21.440372049097817,-4.691016823046612,-18.552248641998894,-7.875153734357593,0.2839883426143869,-2.768783980793035,-2.552803854706975,-2.1017033106840994,8.001236545071384,-5.020100003672798,-27.15587517963086,-23.17039079743197,-11.590033831334333,-8.733915088667224,-2.5850611204814933,-7.758982233822244,4.0967468400826235,-5.169838423549606,14.454906689541735,17.1478133760115,26.055902822809152,23.42367265820553,3.889886437286072,6.22271391493491,8.784571981797232,13.911485630368992
0.54-0.57,28.717200730526233,16.423277058663324,-0.9644995883528027,42.90872233894928,-32.82038018880124,-39.65705548274356,-39.56935011980884,-11.095305832147934,-10.689073245344423,8.127611927238457,-45.78214578214579,-86.5047233468286,-25.32230253469192,-34.176724627099944,-10.242382063527849,-17.560389052507347,-39.93993993993994,-35.992634317539505,13.05117944422628,-34.36791775967615,16.983843770847614,-32.69093479302519,-10.457740111235706,-3.0868046659229593,5.190357675423243,25.98697758525354,12.137015438386992,-0.9028039375277113,16.770807081532766,-13.685715519894211,-25.198711228978727,-26.93693271271828,8.56093680217805,11.529930798830117,-4.970905379519064,-6.851796481590705,-0.19733781046457477,8.61342209388409,7.764326045461872,5.741209871428145,-0.2099163377826882,3.460371432350181,-13.85085171246147,-20.50836040386213,-13.650614914849626,-2.8013943886510955,-9.837823590562675,-11.307438883915774,-8.819946411337003,-6.557105864820431,1.9361768117232299,8.759651548165168,3.545723253561797,-9.095542770978394,2.2518696556145104,-5.48945637113703,1.3503567445914975,-7.475600861608431,10.25054637657069,1.986716055449228
0.57-0.60,21.917885658896516,0.0479630679735053,11.819354715665785,23.561120549914293,2.7313266443701276,-43.50011963837155,-65.21739130434783,-43.328055860025174,-20.790976342612286,-43.50011963837155,-57.439872500724434,-43.971605736311616,-15.236752070969912,-5.4205838975218965,-4.016422633967668,-31.80384597617158,-9.913825181119687,-43.401337116742624,-18.307301909974292,-4.420049969299892,-7.008951866881821,21.05915332194323,-15.017198864538173,6.173125447953607,3.0774851616353707,-9.08121761560321,-5.331115628135611,-2.3082719093636825,-14.850934603233462,1.383119843550959,-3.6470262440776646,17.917762523042526,-1.8046236925580883,-0.5507784800840128,-10.460125199452941,3.5584063141295226,-4.793697086216535,-0.11271299543355714,3.377662415673384,11.621607569490031,1.3137317124711734,-3.823284522647775,-3.7505332421184527,18.9669181249005,17.414110644791865,5.414993638736757,12.047646927439118,-0.3794209864582993,-1.9904328468047499,-7.455277123708109,-13.110838642413599,-7.020253089776365,-8.560927908961254,-5.872000918815184,-23.272316594519484,-5.687524782621507,-8.154202210541547,8.692996888849803,5.795297314262626,17.729733851570742
0.60-0.63,-31.425645527028017,11.402702188601909,37.822423931745604,29.479253459906356,21.52828036400707,-18.36598693855791,-31.599515492740732,-26.07267093420379,-63.567679753932524,-70.55527740028133,-45.23682573535945,-19.336741006826223,-31.45364338850581,-8.595889730163291,0.8274698736197424,-8.097034124602152,11.246723659708614,-2.8941191988756536,19.764155385337077,9.467350844839231,-18.682579120464574,-9.871155958617514,-14.80824161176067,14.256799740823142,7.382247675309335,-6.6842590104722195,9.4651201520092,-1.9553516710750858,-8.891457455602179,-16.201941656647225,-18.399508498386833,-20.934468774077796,-20.85149363147064,-10.392318376166477,6.786201769751182,16.239420554621162,9.489759332126425,16.048732541059447,15.818266130863337,15.91558798975958,19.194395772782876,-0.35331190388229095,3.892971961384207,6.3187520541558895,3.9551978436836985,-8.124364967267688,0.9267774224492376,-2.9055656853710645,-16.54276892936001,-5.085889748409491,2.975563838777499,-7.140490072932512,-3.750016986557414,0.3208565910528841,-10.622914457603455,-17.596803445721694,-23.777603744699192,-13.89583578868138,-25.98981009908587,-11.826954180712896
0.63-0.66,6.798199916095338,-12.128104134250082,-23.121920567561315,-28.89243926283059,-36.28590180161279,-58.360630810318526,8.418926492539386,-23.067817922358135,-49.36643791605624,-6.811489239158165,-61.97663659495721,-5.672754269804432,12.119927704818913,-0.23642103708721202,6.03002555224404,3.5734544871287883,-5.507892329412836,-22.818733096893048,-16.87115584740175,1.1786171569346962,8.110159497604434,2.6519373172676564,7.925671557073663,-20.52994195034352,-19.81229598287878,-16.928907848001835,-25.548441226701385,-16.055715387102655,-39.55127333196546,-33.98787472093189,-15.928769514184857,-5.333425979926028,4.398074537467711,7.296837477998894,11.70573881932218,3.3047289622993232,9.594618927980747,12.577274025750054,12.390483170814088,25.048155679044932,17.51604463257912,7.086722641332183,-0.5708338708317097,-7.603902950178629,-12.13061798478807,-6.733997740469268,-5.572052033028738,-10.205434241008847,0.010260829622913786,-20.66062519255168,-16.481818780000054,-20.773683049582967,-9.968501394739377,-29.52132623234609,-3.572613745066644,-17.667528131770766,-10.55821503156876,-6.30162194436597,-19.90512235670049,-10.538526434195727
0.66-0.69,13.22693013740563,-18.04968679654776,10.044107631955312,3.6581095357030273,-46.12055489252969,-25.58767418986448,-9.935791714712732,-14.677668960820823,-11.587645509130965,-31.217667865196024,3.825981100910826,-39.8330170992641,5.911776619296133,16.427467420134032,-55.773420479302835,-33.193718062092,-35.72139478683516,-4.397414209594349,19.046942419529486,8.594734145180748,2.3288577371246664,16.950512513062733,-10.659374002342641,-19.528207018885197,-28.70132394446174,-26.25678482338686,3.1713300350999,1.5691460235619483,-16.90483615358833,5.833437929402057,11.064282676132454,14.187427038482001,38.037860762103435,16.06390188424228,-3.806567153311961,-1.4596035448172147,-26.255779788212557,-9.81559024600631,-3.037212152194726,-2.6905570078357894,-8.84652506223959,3.6135206493742134,-1.9640198099505364,-4.60773333333566,-0.6549899376558674,7.020874064513139,9.529253998876547,5.196494137734993,-21.12323669733135,-0.6330055472235387,1.6077383483886665,3.1359385074869364,-12.134362491926172,14.002973558281148,0.00611977455649796,-1.3617709032925294,4.29392589669554,-31.400558862197812,-13.608889528515322,20.531991483532426
0.69-0.72,19.583523873337462,6.526499122633493,-38.27228480534616,40.123765123765125,-43.459367522897644,-17.24467507989626,-49.550413295689175,1.4007273531355182,2.770364742195732,-2.7811586575745433,-49.99282251396335,-18.392211268788035,-16.66655738570353,-29.072320715290427,-4.049746707887496,-17.704933749829323,-2.2510098557837797,1.342765377087072,-2.5107989075583017,-10.191988532243629,-22.93813586759887,-14.884518768311342,-13.025811770645687,-29.36854249038544,-25.452011675151827,-17.00861252036675,-13.752139206252986,-12.459050054339983,16.172073696398435,19.195494572373175,18.790425096914515,-4.413997919235676,-1.5627345653166087,1.9311434588162157,6.841395755963838,-5.849605477790795,-2.0474596803178318,-3.2249821960797167,-3.995461783926843,-12.247992154840247,-0.06468041962049301,2.0595466063645818,17.888058245212147,10.863264479325037,5.437431926260463,3.6318903798033535,-7.040334634497333,5.354655812630977,-3.141580383076471,-10.384399066938196,-4.121090593256438,-16.7856322998914,-9.509052426973511,-9.125126790824014,-25.722657898903055,-5.762872235517992,-7.221904121061057,0.9805476926202277,-17.342721567426903,
0.72-0.75,-4.744423985938253,9.988238605431938,-25.069240521242776,15.647230460505925,-6.969577894340719,-24.765483668461023,-20.125058326203035,-14.448110075149916,-16.467416419196333,-29.68487685418349,-18.786441125321325,-17.570977633406258,5.253292337078759,-23.04444978072295,-29.936271044138106,-14.393527583046506,-29.113201196337705,-18.279202217578597,-6.083148491792205,-21.996330206541018,-26.980239300039155,-32.615712501320985,-24.9806320893638,-26.76610928451595,0.3926249856367107,-16.7228305600457,12.131153555506378,5.337340904815151,12.307165847308633,-1.900214054368587,-13.368931188110352,-5.838630791382807,4.950866860307519,2.987565868567094,-8.842354608863118,2.417950953628222,5.931356497878794,-6.985569742337103,1.6817522891967789,3.760365366600281,7.0703044186206405,-1.2448645752480634,4.7273208527511645,12.934166044082923,9.35310894780706,12.966695750214196,11.014353991898245,6.838929145828971,9.025506285508529,9.538775573944472,7.663246520764131,6.22772028739364,3.5143942134511676,-8.321322836984974,-0.7381741638371133,-32.169434523386975,-11.778792616892257,4.67073275267545,9.044976960835033,-31.506849315068486
0.75-0.78,-22.911497105045502,-5.534864827574596,29.64015832314007,-24.763297194925553,-18.221997076357273,-13.032777145468181,0.8851456991832498,-49.25545372276983,-28.69115579585948,-10.078047204876576,1.3665864120023474,-22.725985544828088,-32.626783670877884,-39.44953958297775,-37.38182938881634,-10.814215137799781,-21.94286564267841,-16.501652059374045,-7.611299286806562,-8.910683547777847,-23.733842050336904,-14.774785276389743,-9.573598262322506,-0.5346923346333998,-9.421914288187477,-13.038826000625692,-21.731017803871445,-18.164793213370086,-13.052079932065515,-19.472956814053884,-15.874541251787964,5.271186691388988,-19.500066718898445,13.642267367750021,8.616034839238898,2.783907896332222,-0.956657020132124,-5.599694100016203,8.079479735437674,15.275837063940983,5.40410629464679,4.201975269199981,6.606859108498603,6.248181718902559,5.384156048094247,14.604322923202083,7.0554594878366546,12.679761379828768,5.076072877726529,6.633773487167311,-2.02956765479708,1.5234187173212383,-13.162172269703342,-0.6733196079855309,-9.75663175005762,12.787081250330676,30.731198330074754,30.7393250230145,31.074165762580748,
